feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. 13470_2_92,0.84455,pos,0.84455,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. 18048_1_87,0.44318,pos,0.44318,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. 18048_1_87,0.55728,pos,0.55728,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AF34-10BH,0.82869,pos,0.82869,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. AF34-10BH,0.91081,pos,0.91081,0,0
Acetatifactor sp. 18048_1_87,Acetatifactor sp. AF34-10BH,0.56748,pos,0.56748,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AF36-18BH,0.84791,pos,0.84791,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. AF36-18BH,0.91397,pos,0.91397,0,0
Acetatifactor sp. 18048_1_87,Acetatifactor sp. AF36-18BH,0.56849,pos,0.56849,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. AF36-18BH,0.94002,pos,0.94002,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AF46-9NS,0.78437,pos,0.78437,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. AF46-9NS,0.89815,pos,0.89815,0,0
Acetatifactor sp. 18048_1_87,Acetatifactor sp. AF46-9NS,0.61394,pos,0.61394,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. AF46-9NS,0.92791,pos,0.92791,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. AF46-9NS,0.92302,pos,0.92302,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AM34-9AC,0.85207,pos,0.85207,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. AM34-9AC,0.9146,pos,0.9146,0,0
Acetatifactor sp. 18048_1_87,Acetatifactor sp. AM34-9AC,0.56793,pos,0.56793,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. AM34-9AC,0.93179,pos,0.93179,0,0
